Word,Gender,Category
Elijah,Male,Name
Elizabeth,Female,Name
Eloise,Female,Name
Elowen,Female,Name
Emily,Female,Name
Emma,Female,Name
Emperor,Male,Common Noun
Empress,Female,Common Noun
Enchantress,Female,Common Noun
Esquire,Male,Common Noun
Ethan,Male,Name
Eulalia,Female,Name
Evelyn,Female,Name
Everley,Female,Name
Ewe,Female,Animal Names
Ezra,Male,Name
Fairy,Female,Common Noun
Father,Male,Common Noun
Lioness,Female,Animal Names
Filly,Female,Animal Names
Fox,Male,Animal Names
Freya,Female,Name
Friar,Male,Common Noun
Gabriel,Male,Name
Gabriella,Female,Name
Gabrielle,Female,Name
Gage,Male,Name
Gallant,Male,Common Noun
Gander,Male,Animal Names
Gavin,Male,Name
Gelding,Male,Animal Names
Gentleman,Male,Common Noun
Georgia,Female,Name
Girlfriend,Female,Common Noun
Goddess,Female,Common Noun
Goose,Female,Animal Names
Governor,Male,Common Noun
Gracie,Female,Name
Griffin,Male,Name
Gwendolyn,Female,Name
Hannah,Female,Name
Hare,Female,Animal Names
Harper,Female,Name
Hart,Male,Animal Names
Hazel,Female,Name
Heifer,Female,Animal Names
Heiress,Female,Common Noun
Helena,Female,Name
Hen,Female,Animal Names
Hero,Male,Common Noun
Heroine,Female,Common Noun
Hostess,Female,Common Noun
Hunter,Male,Name
Huntsman,Male,Common Noun
Husband,Male,Common Noun
Imogen,Female,Name
Indigo,Female,Name
Iris,Female,Name
Isabella,Female,Name
Ivy,Female,Name
Jace,Male,Name
Jack,Male,Animal Names
Jagger,Male,Name
James,Male,Name
Jasmine,Female,Name
Jaxon,Male,Name
Jenny,Female,Animal Names
Jessica,Female,Name
Josephine,Female,Name
Joshua,Male,Name
Julia,Female,Name
Julian,Male,Name
Kaden,Male,Name
Kaelyn,Female,Name
Kai,Male,Name
Kalliope,Female,Name
Kayden,Male,Name
Kayla,Female,Name
Kieran,Male,Name
King,Male,Common Noun
Knight,Male,Common Noun
Kyler,Male,Name
Lachlan,Male,Name
Lady,Female,Common Noun
Landon,Male,Name
Lane,Male,Name
Lassie,Female,Animal Names
Lawson,Male,Name
Leila,Female,Name
Leon,Male,Name
Leslie,Female,Name
Liam,Male,Name
Lila,Female,Name
Lily,Female,Name
Lion,Male,Animal Names
Logan,Male,Name
Lord,Male,Common Noun
Lucas,Male,Name
Luna,Female,Name
Lylah,Female,Name
Lyra,Female,Name
Madison,Female,Name
Magnolia,Female,Name
Magnus,Male,Name
Maiden,Female,Common Noun
Mare,Female,Animal Names
Margaret,Female,Name
Marisa,Female,Name
Marley,Female,Name
Marshal,Male,Common Noun
Mason,Male,Name
Matilda,Female,Name
Matriarch,Female,Common Noun
Matron,Female,Common Noun
Maverick,Male,Name
Maximus,Male,Name
Mayor,Male,Common Noun
Mermaid,Female,Common Noun
Mia,Female,Name
Michael,Male,Name
Milo,Male,Name
Mister,Male,Common Noun
Monk,Male,Common Noun
Morgan,Female,Name
Mother,Female,Common Noun
Muse,Female,Common Noun
Nadia,Female,Name
Nanny Goat,Female,Animal Names
Nico,Male,Name
Nina,Female,Name
Noah,Male,Name
Nun,Female,Common Noun
Odessa,Female,Name
Oliver,Male,Name
Olivia,Female,Name
Ophelia,Female,Name
Orion,Male,Name
Owen,Male,Name
Parker,Male,Name
Patriarch,Male,Common Noun
Patroness,Female,Common Noun
Paxton,Male,Name
Peacock,Male,Animal Names
Penelope,Female,Name
Phoenix,Male,Name
Piper,Female,Name
Pirate,Male,Common Noun
Priest,Male,Common Noun
Priestess,Female,Common Noun
Prince,Male,Common Noun
Princess,Female,Common Noun
Prophet,Male,Common Noun
Queen,Female,Common Noun
Queen Bee,Female,Animal Names
Rabbit,Female,Animal Names
Ram,Male,Animal Names
Raptor,Male,Animal Names
Remi,Female,Name
Rhys,Male,Name
Riley,Female,Name
Rooster,Male,Animal Names
Rowan,Male,Name
Ruby,Female,Name
Ryan,Male,Name
Rylan,Male,Name
Sadie,Female,Name
Sage,Male,Name
Sailor,Male,Common Noun
Samantha,Female,Name
Samuel,Male,Name
Sasha,Female,Name
Saskia,Female,Name
Sawyer,Male,Name
Sheriff,Male,Common Noun
She-Wolf,Female,Animal Names
Sienna,Female,Name
Simone,Female,Name
Sir,Male,Common Noun
Siren,Female,Common Noun
Sister,Female,Common Noun
Slade,Male,Name
Soldier,Male,Common Noun
Son,Male,Common Noun
Sophia,Female,Name
Sorceress,Female,Common Noun
Sow,Female,Animal Names
Squirrel,Female,Animal Names
Stag,Male,Animal Names
Stallion,Male,Animal Names
Suitor,Male,Common Noun
Sutton,Male,Name
Sydney,Female,Name
Sylph,Female,Common Noun
Talon,Male,Name
Taylor,Female,Name
Tessa,Female,Name
Thatcher,Male,Name
Tiger,Male,Animal Names
Tigress,Female,Animal Names
Titus,Male,Name
Tomcat,Male,Animal Names
Tristan,Male,Name
Tyler,Male,Name
Uriah,Male,Name
Victor,Male,Name
Victoria,Female,Name
Viking,Male,Common Noun
Violet,Female,Name
Vivi,Female,Name
Vixen,Female,Animal Names
Warrior,Male,Common Noun
Weston,Male,Name
Wife,Female,Common Noun
Wilder,Male,Name
Wiley,Male,Name
Willa,Female,Name
William,Male,Name
Winston,Male,Name
Wolf,Male,Animal Names
Wren,Female,Name
Zachary,Male,Name
Zane,Male,Name
Zara,Female,Name
Zoe,Female,Name
